Model,Temperature,scenario,context_sensitivity,firm_identity_max_delta_p,mean_firm_identity_jsd,mean_rds
01-ai/Yi-1.5-9B-Chat,0.0,1_founder_period,0.2637913222797121,0.35031245925939714,0.2136580271769151,0.17019318776775216
01-ai/Yi-1.5-9B-Chat,0.0,2_roadster_launch,0.024761893018237655,0.04285102420856611,0.023468889086743508,0.05281944305470471
01-ai/Yi-1.5-9B-Chat,0.0,3_model_s_launch,0.24791946937216996,0.7488888888888889,0.7009943186713142,0.1539330003849755
01-ai/Yi-1.5-9B-Chat,0.0,4_model_x_launch,0.3562509965347048,0.30425048669695004,0.21200616650585236,0.09210317691769394
01-ai/Yi-1.5-9B-Chat,0.0,5_model_3_mass_market,0.04741097010109923,0.07377777777777778,0.04118562428194933,0.08370884012469886
01-ai/Yi-1.5-9B-Chat,0.0,6_energy_infra,0.11104633738911521,0.07082828282828282,0.020814484435136543,0.1857876509938247
01-ai/Yi-1.5-9B-Chat,0.7,1_founder_period,0.10276748289629624,0.3583952189377643,0.1802736959591068,0.18966142869537436
01-ai/Yi-1.5-9B-Chat,0.7,2_roadster_launch,0.05306753907588983,0.18107667001456604,0.07303133698600878,0.17318824561795537
01-ai/Yi-1.5-9B-Chat,0.7,3_model_s_launch,0.16631915141220682,0.7109870588743367,0.5778889940423373,0.18362561766986052
01-ai/Yi-1.5-9B-Chat,0.7,4_model_x_launch,0.3869335905266034,0.28890912250727613,0.15614828779601608,0.15100034141477947
01-ai/Yi-1.5-9B-Chat,0.7,5_model_3_mass_market,0.07960259142899581,0.1964693354519808,0.09853748832439681,0.16565421553467305
01-ai/Yi-1.5-9B-Chat,0.7,6_energy_infra,0.12363442648543685,0.07266069032772188,0.012871423647022772,0.18857822827551715
Qwen/Qwen2.5-14B-Instruct,0.0,1_founder_period,0.2939145136441663,0.3403745702401692,0.2068583204477647,0.16452437978124554
Qwen/Qwen2.5-14B-Instruct,0.0,2_roadster_launch,0.06971172867979719,0.07133333333333333,0.038446280845052805,0.21084024016655808
Qwen/Qwen2.5-14B-Instruct,0.0,3_model_s_launch,0.23148542441973666,0.39666666666666667,0.33735091574177833,0.2551875804179634
Qwen/Qwen2.5-14B-Instruct,0.0,4_model_x_launch,0.5468824994016617,0.4994444444444444,0.4030736564698263,0.0868181967269146
Qwen/Qwen2.5-14B-Instruct,0.0,5_model_3_mass_market,0.03646564014173527,0.95,0.9183065178604572,0.34713427945971487
Qwen/Qwen2.5-14B-Instruct,0.0,6_energy_infra,0.43888140608420534,0.16677777777777777,0.0965261479591358,0.15659722213965757
Qwen/Qwen2.5-14B-Instruct,0.7,1_founder_period,0.24255064790144593,0.4113769895529705,0.23536473669863223,0.18307349019261634
Qwen/Qwen2.5-14B-Instruct,0.7,2_roadster_launch,0.09034028322978452,0.0658888888888889,0.029879417107625497,0.28466724766388163
Qwen/Qwen2.5-14B-Instruct,0.7,3_model_s_launch,0.1782621856420436,0.2966666666666667,0.18665436303231336,0.25764466288907134
Qwen/Qwen2.5-14B-Instruct,0.7,4_model_x_launch,0.5552529272636367,0.5043576097105508,0.37184530459542303,0.12863175727318227
Qwen/Qwen2.5-14B-Instruct,0.7,5_model_3_mass_market,0.046506504288064895,0.9374444444444444,0.8779017114784989,0.19714844597110595
Qwen/Qwen2.5-14B-Instruct,0.7,6_energy_infra,0.4159411430586558,0.14733333333333334,0.060504705573484203,0.17441763828421944
deepseek-ai/deepseek-llm-7b-chat,0.0,1_founder_period,0.36424356144179953,0.07236822278194711,0.0436504687116428,0.0912592705715258
deepseek-ai/deepseek-llm-7b-chat,0.0,2_roadster_launch,0.5523095612675218,0.1259233604852954,0.06941307344898079,0.1080727424464113
deepseek-ai/deepseek-llm-7b-chat,0.0,3_model_s_launch,0.0,0.0,0.0,0.09159099022130752
deepseek-ai/deepseek-llm-7b-chat,0.0,4_model_x_launch,0.02962863554044596,0.03699676375404531,0.018276179502507456,0.07725382746107838
deepseek-ai/deepseek-llm-7b-chat,0.0,5_model_3_mass_market,0.4049653363980054,0.1638888888888889,0.1125351795336677,0.15532739936176265
deepseek-ai/deepseek-llm-7b-chat,0.0,6_energy_infra,0.314886880342789,0.22051895574628488,0.10738579847668626,0.1297285365459474
deepseek-ai/deepseek-llm-7b-chat,0.7,1_founder_period,0.194323846933837,0.09650483169255569,0.027930399173184614,0.13386554913816803
deepseek-ai/deepseek-llm-7b-chat,0.7,2_roadster_launch,0.09654502759000486,0.11701802409009845,0.03359833683073866,0.16372339072062023
deepseek-ai/deepseek-llm-7b-chat,0.7,3_model_s_launch,0.013638163187127024,0.009195665486186397,0.006031371695475819,0.15650384526345018
deepseek-ai/deepseek-llm-7b-chat,0.7,4_model_x_launch,0.06556184393443869,0.11275893821673728,0.022968121260586925,0.1262251859186265
deepseek-ai/deepseek-llm-7b-chat,0.7,5_model_3_mass_market,0.1276906747181427,0.1489543925054901,0.06779910724329702,0.1564911627282457
deepseek-ai/deepseek-llm-7b-chat,0.7,6_energy_infra,0.23800715859195,0.2546213043226729,0.10467405695979223,0.155548738025922
meta-llama/Meta-Llama-3.1-8B-Instruct,0.0,1_founder_period,0.3929147283635989,0.33220167855385174,0.23954798923880607,0.11440531106586015
meta-llama/Meta-Llama-3.1-8B-Instruct,0.0,2_roadster_launch,0.1837532793354633,0.234,0.18226913938691705,0.0771106664305574
meta-llama/Meta-Llama-3.1-8B-Instruct,0.0,3_model_s_launch,0.0,0.0,0.0,0.10684896323415968
meta-llama/Meta-Llama-3.1-8B-Instruct,0.0,4_model_x_launch,0.650912935621896,0.22769621369621368,0.1568385473492774,0.06792895920715677
meta-llama/Meta-Llama-3.1-8B-Instruct,0.0,5_model_3_mass_market,0.013792538096930873,0.01,0.005517015238772349,0.16512471970584655
meta-llama/Meta-Llama-3.1-8B-Instruct,0.0,6_energy_infra,0.32806604738210743,0.2719596633543262,0.24064313886199817,0.11926167007273895
meta-llama/Meta-Llama-3.1-8B-Instruct,0.7,1_founder_period,0.2654778293230862,0.23377637076879845,0.09027866988402332,0.16842051081395137
meta-llama/Meta-Llama-3.1-8B-Instruct,0.7,2_roadster_launch,0.13933153784396804,0.2000718115027597,0.05051707416633647,0.14204737285685584
meta-llama/Meta-Llama-3.1-8B-Instruct,0.7,3_model_s_launch,0.009238988610410465,0.05878366084670428,0.03043840900106536,0.16356287280755502
meta-llama/Meta-Llama-3.1-8B-Instruct,0.7,4_model_x_launch,0.4400216284210624,0.21994363525144725,0.0977032655317794,0.13452879059243408
meta-llama/Meta-Llama-3.1-8B-Instruct,0.7,5_model_3_mass_market,0.07481193608645402,0.13030280829367025,0.08347116794445661,0.18927629560327203
meta-llama/Meta-Llama-3.1-8B-Instruct,0.7,6_energy_infra,0.20483455144540588,0.1326341656144243,0.03071631853508884,0.17488793350499188
mistralai/Mistral-7B-Instruct-v0.3,0.0,1_founder_period,0.34837984932974736,0.22714793390185295,0.12948669391473797,0.2086243301045462
